ID,1860,1880,1890,1900,1920,1931,1940,1950,1960,1970,1980,1989,Country Name,Country Code,Spatial Scale,Unit,Technology Name,Metric,Data Source
Flush Toilet_Share of Households_US,0.01,0.07,0.13,0.15,0.2,0.51,0.6,0.71,0.87,0.96,0.98,1.0,United States,US,National,%,Flush Toilet,Share of Households,OWID
