ID,2017,2018,2021,2022,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_BG,1,1,1,1,Bulgaria,National,BG,UNOOSA,Total Number,-,Objects Launched Into Space
