ID,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Unit,Data Source,Metric,Spatial Scale,Technology Name,Country Name,Country Code
Television Receivers_Price_AZ,,,,,,5.45136471951561e-05,,,,,0.0001000634792706145,0.00017430610507143917,0.00011302014464830802,0.00014244190004998513,0.00013806640398965708,0.00013740812981898756,0.0001280887161665428,3.164167024016647e-05,1.5617282279607024e-05,4.2146945377743136e-05,3.7158315845084264e-05,,million USD/unit,UN Industrial Commodity Statistics Database,Price,National,Television Receivers,Azerbaijan,AZ
Television Receivers_Price_BD,,,,,,,0.0001528548081203918,0.0001345431451555086,0.00013691859337913484,0.00013470139738321966,0.00012973028816765282,0.0001274659182690395,,,,,,,,,,,million USD/unit,UN Industrial Commodity Statistics Database,Price,National,Television Receivers,Bangladesh,BD
Television Receivers_Price_BR,,,,,,0.0001714846597426145,0.00012732677233400971,0.0001332074173357118,0.0001188656291143111,0.00012074476064396187,0.0001522525736749861,0.00017329157654441356,0.00017950145112756796,0.00023678800173231997,0.00023024528766239568,0.0003054436585388924,0.00027891667071912665,0.0002322885105490503,0.00022575888218315994,0.00021659024758356735,0.00016566316942092995,,million USD/unit,UN Industrial Commodity Statistics Database,Price,National,Television Receivers,Brazil,BR
Television Receivers_Price_BG,,,,0.00016762058447099203,0.0,0.0,,,,,7.583457207820739e-05,6.708388695472116e-05,5.867879428251145e-05,6.504917218505145e-05,,,,,,,,,million USD/unit,UN Industrial Commodity Statistics Database,Price,National,Television Receivers,Bulgaria,BG
Television Receivers_Price_CZ,,,,,,,,,,,,,,,,,,,,,0.00038282836486215935,,million USD/unit,UN Industrial Commodity Statistics Database,Price,National,Television Receivers,Czechia,CZ
Television Receivers_Price_DK,,,,,,,,,,,0.0009769288496596674,0.0022504152707089483,,,,,,,,,,,million USD/unit,UN Industrial Commodity Statistics Database,Price,National,Television Receivers,Denmark,DK
Television Receivers_Price_EC,,,,,,,,,,,,,,,,,0.00011700003232512741,,0.0005740773428925295,0.0003447710927024801,0.00038393307255082433,0.00046511159899888764,million USD/unit,UN Industrial Commodity Statistics Database,Price,National,Television Receivers,Ecuador,EC
Television Receivers_Price_EG,,,,,,,,,,,,,,,,,,,,0.00024332742307984058,0.00040119550886679394,,million USD/unit,UN Industrial Commodity Statistics Database,Price,National,Television Receivers,Egypt,EG
Television Receivers_Price_FI,,,,,,,,,,,0.0007536942322795182,,,,,,,,,0.0,,0.0,million USD/unit,UN Industrial Commodity Statistics Database,Price,National,Television Receivers,Finland,FI
Television Receivers_Price_DE,,,0.0005048971027276941,0.00044617535390556755,0.00039029696188278224,0.0002893589886746813,0.0003235002997950461,0.00031399447839398854,0.0003087503520849612,0.0002503657160798763,0.0002730509172330937,0.0003143466220730371,0.00038459673943400596,0.00039772129064599525,0.0003792010701912973,0.00033277103266121926,0.00035520113080008347,0.00030340873137688654,0.0003093829732014378,,,,million USD/unit,UN Industrial Commodity Statistics Database,Price,National,Television Receivers,Germany,DE
Television Receivers_Price_HU,,,,,,,,,,0.00023786410938875035,0.0002744949582119024,0.0003427835651447873,0.00045818842552850664,0.00039518414932950897,0.0003222869694638213,0.0003078590242816446,0.00033377137262179606,0.00029423985778089244,0.0002559794306960699,0.00024284591271835543,,,million USD/unit,UN Industrial Commodity Statistics Database,Price,National,Television Receivers,Hungary,HU
Television Receivers_Price_IQ,,,,,,,,,,,,5.5469953775038576e-05,,0.00018082198355786445,,,,,,,,,million USD/unit,UN Industrial Commodity Statistics Database,Price,National,Television Receivers,Iraq,IQ
Television Receivers_Price_IT,,,,,,,,,,,,,,,,,,,,,,3.961216731325326e-05,million USD/unit,UN Industrial Commodity Statistics Database,Price,National,Television Receivers,Italy,IT
Television Receivers_Price_JP,,,,0.00040112076835776303,0.0005663853982218929,0.0004983582569453704,0.0004097539433460246,0.0004937860324354697,0.0005711445779121039,0.0007939848637063266,0.0007976165573924392,0.0007064915650549074,0.0007622447705822431,0.0008107720267213846,0.000792516501232902,0.0008105016537911987,0.0008758125997865228,0.0008558099742256046,0.0006163051177623135,0.0005374969317838165,0.0006804793137532999,0.0005869875488331766,million USD/unit,UN Industrial Commodity Statistics Database,Price,National,Television Receivers,Japan,JP
Television Receivers_Price_LT,,,,,,,,,,,,,,,,,,,,,,0.0001666010603630173,million USD/unit,UN Industrial Commodity Statistics Database,Price,National,Television Receivers,Lithuania,LT
Television Receivers_Price_MN,,,,,,,,,,,,,,,,,,,,0.00022988233344941586,,,million USD/unit,UN Industrial Commodity Statistics Database,Price,National,Television Receivers,Mongolia,MN
Television Receivers_Price_NG,,,,,,,7.456504583552887e-06,6.880753014371382e-06,6.418365905428248e-06,6.2433656186810634e-06,6.32011228206147e-06,,,,,,,,,,,,million USD/unit,UN Industrial Commodity Statistics Database,Price,National,Television Receivers,Nigeria,NG
Television Receivers_Price_PL,,,,,,,,,,,0.00026277928335627284,0.00032733096598858727,0.00035801219935391104,0.0003699824053780627,0.00031313744730828547,0.0003073486206808652,,,,0.00026455541887775565,0.0001984693446638466,0.00018224722795030148,million USD/unit,UN Industrial Commodity Statistics Database,Price,National,Television Receivers,Poland,PL
Television Receivers_Price_PT,,,,,,,,0.12213641673696456,0.15086273532493608,0.17095307128216963,0.10854868202707572,,0.5467024903349776,0.5713862188880107,0.5443461640708971,,,,,,,,million USD/unit,UN Industrial Commodity Statistics Database,Price,National,Television Receivers,Portugal,PT
