ID,2011,2012,2013,2014,2015,2016,2017,2018,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lithium-Ion Battery Storage_Cumulative Rated Power_GB,200.0,275.0,4925.0,11523.0,21523.0,23825.0,43825.0,44825.0,Lithium-Ion Battery Storage,United Kingdom,kW,GESDB,Cumulative Rated Power,National,GB
Lithium-Ion Battery Storage_Cumulative Rated Capacity_GB,200.0,275.0,6075.0,16394.0,21394.0,23037.0,23037.0,24037.0,Lithium-Ion Battery Storage,United Kingdom,kWh,GESDB,Cumulative Rated Capacity,National,GB
