ID,1900,1910,1920,1940,1950,1960,1970,Country Name,Country Code,Spatial Scale,Unit,Technology Name,Metric,Data Source
Central Heating_Share of Households_US,0.0,0.0,0.01,0.42,0.5,0.66,0.78,United States,US,National,%,Central Heating,Share of Households,OWID
