ID,1933,1950,1960,1970,1975,1980,1985,1986,Country Name,Country Code,Spatial Scale,Unit,Technology Name,Metric,Data Source
Electric Range_Share of Households_US,0.05,0.14,0.3,0.4,0.45,0.5,0.53,0.57,United States,US,National,%,Electric Range,Share of Households,OWID
