ID,1974,2008,2013,2017,2018,2021,2022,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_NL,1,1,4,1,3,3,1,Netherlands,National,NL,UNOOSA,Total Number,-,Objects Launched Into Space
