ID,1985,1994,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped Hydro Storage_Cumulative Rated Power_TW,1008000.0,2608000.0,Pumped Hydro Storage,Taiwan,kW,GESDB,Cumulative Rated Power,National,TW
Pumped Hydro Storage_Cumulative Rated Capacity_TW,0.0,0.0,Pumped Hydro Storage,Taiwan,kWh,GESDB,Cumulative Rated Capacity,National,TW
