ID,2018,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_CR,1,Costa Rica,National,CR,UNOOSA,Total Number,-,Objects Launched Into Space
