Country Name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Data Source,Technology Name,Spatial Scale,Metric,Unit,Country Code,ID
Portugal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eurostat,Ground Source Heat Pumps,National,Installed thermal capacity,GW,PT,Ground Source Heat Pumps_Installed thermal capacity_PT
Romania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eurostat,Ground Source Heat Pumps,National,Installed thermal capacity,GW,RO,Ground Source Heat Pumps_Installed thermal capacity_RO
Slovenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eurostat,Ground Source Heat Pumps,National,Installed thermal capacity,GW,SI,Ground Source Heat Pumps_Installed thermal capacity_SI
Slovakia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eurostat,Ground Source Heat Pumps,National,Installed thermal capacity,GW,SK,Ground Source Heat Pumps_Installed thermal capacity_SK
Finland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eurostat,Ground Source Heat Pumps,National,Installed thermal capacity,GW,FI,Ground Source Heat Pumps_Installed thermal capacity_FI
Sweden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eurostat,Ground Source Heat Pumps,National,Installed thermal capacity,GW,SE,Ground Source Heat Pumps_Installed thermal capacity_SE
Iceland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eurostat,Ground Source Heat Pumps,National,Installed thermal capacity,GW,IS,Ground Source Heat Pumps_Installed thermal capacity_IS
Norway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eurostat,Ground Source Heat Pumps,National,Installed thermal capacity,GW,NO,Ground Source Heat Pumps_Installed thermal capacity_NO
United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Eurostat,Ground Source Heat Pumps,National,Installed thermal capacity,GW,GB,Ground Source Heat Pumps_Installed thermal capacity_GB
Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Eurostat,Ground Source Heat Pumps,National,Installed thermal capacity,GW,BA,Ground Source Heat Pumps_Installed thermal capacity_BA
Montenegro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eurostat,Ground Source Heat Pumps,National,Installed thermal capacity,GW,ME,Ground Source Heat Pumps_Installed thermal capacity_ME
Moldova,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eurostat,Ground Source Heat Pumps,National,Installed thermal capacity,GW,MD,Ground Source Heat Pumps_Installed thermal capacity_MD
North Macedonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eurostat,Ground Source Heat Pumps,National,Installed thermal capacity,GW,MK,Ground Source Heat Pumps_Installed thermal capacity_MK
Georgia,,,,,,,,,,,,,,,,,,0.0,0.0,Eurostat,Ground Source Heat Pumps,National,Installed thermal capacity,GW,GE,Ground Source Heat Pumps_Installed thermal capacity_GE
Albania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eurostat,Ground Source Heat Pumps,National,Installed thermal capacity,GW,AL,Ground Source Heat Pumps_Installed thermal capacity_AL
Serbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eurostat,Ground Source Heat Pumps,National,Installed thermal capacity,GW,RS,Ground Source Heat Pumps_Installed thermal capacity_RS
