ID,2015,2016,2017,2018,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Sensible Heat Storage_Cumulative Rated Power_ZA,200000.0,255000.0,355000.0,455000.0,Sensible Heat Storage,South Africa,kW,GESDB,Cumulative Rated Power,National,ZA
Sensible Heat Storage_Cumulative Rated Capacity_ZA,700000.0,1195000.0,1745000.0,2945000.0,Sensible Heat Storage,South Africa,kWh,GESDB,Cumulative Rated Capacity,National,ZA
