ID,2013,2019,2020,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_EE,1,1,1,Estonia,National,EE,UNOOSA,Total Number,-,Objects Launched Into Space
