ID,1983,1988,1993,1998,2003,2008,2013,2018,Data Source,Country Name,Country Code,Spatial Scale,Metric,Technology Name,Unit
Pumped Hydropower_Cumulative Total Capacity_World,550.1322579279279,783.5180268018017,825.0004549549549,957.6562983333331,1052.9618816666666,1188.7311827927927,1388.7935607139639,1534.2919331238736,Schmidt & Staffell,World,World,Global,Cumulative Total Capacity,Pumped Hydropower,GWh
Pumped Hydropower_Levelized Cost of Energy_World,327.3000167093562,322.50726156992886,321.8139641850615,319.81451735999076,359.1857140280718,322.1880348703875,327.40816901501137,340.9923834308209,Schmidt & Staffell,World,World,Global,Levelized Cost of Energy,Pumped Hydropower,2022 USD/kWh
Pumped Hydropower_Total Installed Cost_World,3169.4288780222455,3123.0179529727684,3116.304367147909,3096.9426067326126,3478.195895188501,3119.9267025343042,3170.4761772073,3302.0197129748067,Schmidt & Staffell,World,World,Global,Total Installed Cost,Pumped Hydropower,2022 USD/kW
