ID,2011,2017,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Heat Thermal Battery Storage_Cumulative Rated Power_AU,3000.0,4100.0,Heat Thermal Battery Storage,Australia,kW,GESDB,Cumulative Rated Power,National,AU
Heat Thermal Battery Storage_Cumulative Rated Capacity_AU,72000.0,75300.0,Heat Thermal Battery Storage,Australia,kWh,GESDB,Cumulative Rated Capacity,National,AU
