ID,2009,2011,2012,2013,2014,2015,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Heat Thermal Battery Storage_Cumulative Rated Power_US,2000.0,2275.0,4285.0,4600.0,4605.0,4605.0,Heat Thermal Battery Storage,United States,kW,GESDB,Cumulative Rated Power,National,US
Heat Thermal Battery Storage_Cumulative Rated Capacity_US,4000.0,4975.0,15025.0,16645.0,16675.0,16675.0,Heat Thermal Battery Storage,United States,kWh,GESDB,Cumulative Rated Capacity,National,US
