ID,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1978,Country Name,Country Code,Spatial Scale,Unit,Technology Name,Metric,Data Source
Vacuums_Share of Households_US,0.315,0.335,0.35700000000000004,0.36,0.371,0.38799999999999996,0.405,0.436,0.445,0.45399999999999996,0.466,0.486,0.48100000000000004,0.483,0.489,0.488,0.49,0.484,0.49200000000000005,0.49700000000000005,0.495,0.49,0.48200000000000004,0.469,0.488,0.495,0.517,0.528,0.565,0.5770000000000001,0.594,0.605,0.622,0.643,0.667,0.6829999999999999,0.7090000000000001,0.725,0.743,0.764,0.782,0.795,0.812,0.835,0.856,0.87,0.8909999999999999,0.907,0.92,0.9440000000000001,0.9690000000000001,0.975,0.9840000000000001,0.992,0.995,0.9990000000000001,United States,US,National,%,Vacuums,Share of Households,OWID
