ID,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,Country Name,Country Code,Data Source,Spatial Scale,Unit,Metric,Technology Name
Radio_Total Number_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535.0,572.0,612.0,654.0,700.0,815.0,950.0,1106.0,1288.0,1500.0,1825.0,2221.0,2702.0,3288.0,4000.0,4158.0,4322.0,4493.0,4671.0,4855.0,4996.0,5140.0,5289.0,5442.0,5600.0,6000.0,6150.0,6304.0,6461.0,,,,,,,,,,Bangladesh,BD,CHAT,National,-,Total Number,Radio
Radio_Total Number_YE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.0,225.0,230.0,235.0,240.0,245.0,250.0,251.0,253.0,254.0,256.0,257.0,258.0,260.0,261.0,263.0,264.0,266.0,267.0,269.0,270.0,271.0,273.0,310.0,359.0,417.0,483.0,561.0,650.0,1000.0,1050.0,1100.0,1160.0,,,,,,,,,,Yemen,YE,CHAT,National,-,Total Number,Radio
Radio_Total Number_CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.0,273.0,299.0,328.0,360.0,395.0,434.0,477.0,524.0,574.0,630.0,691.0,758.0,831.0,912.0,1000.0,1084.0,1176.0,1275.0,1383.0,1500.0,1699.0,1925.0,2181.0,2471.0,2800.0,2952.0,3113.0,3283.0,3462.0,3650.0,3798.0,3951.0,4111.0,4277.0,4450.0,4630.0,4817.0,5012.0,5215.0,,,,,,,,,,Democratic Republic of the Congo,CD,CHAT,National,-,Total Number,Radio
Radio_Total Number_CR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,17.0,19.0,21.0,23.0,29.0,36.0,43.0,50.0,55.0,60.0,65.0,70.0,75.0,77.0,81.0,95.0,109.0,123.0,130.0,124.0,118.0,112.0,106.0,125.0,130.0,135.0,140.0,142.0,145.0,150.0,156.0,160.0,180.0,190.0,243.0,311.0,397.0,508.0,650.0,674.0,700.0,726.0,754.0,782.0,803.0,827.0,850.0,875.0,900.0,950.0,980.0,1011.0,1043.0,,,,,,,,,,Costa Rica,CR,CHAT,National,-,Total Number,Radio
Radio_Total Number_RO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,101.0,132.0,162.0,218.0,270.0,276.0,,,,,,,203.0,230.0,258.0,285.0,313.0,458.0,604.0,750.0,957.0,1164.0,1326.0,1499.0,1655.0,1841.0,2008.0,2126.0,2250.0,2382.0,2522.0,2670.0,2826.0,2992.0,3168.0,3353.0,3550.0,3584.0,3619.0,3654.0,3689.0,3725.0,3767.0,3810.0,3853.0,3896.0,3940.0,4151.0,4374.0,4609.0,4856.0,5117.0,5391.0,5681.0,5985.0,6307.0,6645.0,6700.0,6800.0,6850.0,6900.0,6933.0,7190.0,7200.0,7210.0,7220.0,,,,,,,,,,Romania,RO,CHAT,National,-,Total Number,Radio
Radio_Total Number_ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,10.0,11.0,13.0,15.0,20.0,30.0,30.0,45.0,52.0,60.0,67.0,75.0,75.0,77.0,81.0,82.0,86.0,90.0,92.0,95.0,97.0,100.0,136.0,184.0,250.0,275.0,302.0,331.0,364.0,400.0,410.0,437.0,457.0,478.0,500.0,550.0,570.0,591.0,612.0,,,,,,,,,,Mali,ML,CHAT,National,-,Total Number,Radio
Radio_Total Number_GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22000.0,23000.0,24100.0,25200.0,26400.0,27600.0,28900.0,30300.0,31700.0,33200.0,34700.0,36000.0,37500.0,39200.0,41000.0,42800.0,44800.0,46800.0,49000.0,51200.0,53500.0,54200.0,54900.0,55600.0,56300.0,57000.0,58600.0,60300.0,62000.0,63800.0,80000.0,80700.0,81500.0,82200.0,83000.0,83200.0,84000.0,84500.0,86000.0,86500.0,,,,,,,,,,United Kingdom,GB,CHAT,National,-,Total Number,Radio
Radio_Total Number_MZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,225.0,230.0,250.0,278.0,307.0,335.0,364.0,392.0,421.0,450.0,464.0,479.0,494.0,509.0,525.0,550.0,575.0,602.0,630.0,660.0,700.0,730.0,761.0,794.0,,,,,,,,,,Mozambique,MZ,CHAT,National,-,Total Number,Radio
Radio_Total Number_NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,7.0,,,,,,,36.0,32.0,28.0,24.0,20.0,16.0,20.0,25.0,30.0,39.0,48.0,57.0,66.0,75.0,87.0,100.0,100.0,100.0,100.0,102.0,105.0,110.0,115.0,121.0,128.0,134.0,141.0,148.0,156.0,164.0,172.0,181.0,190.0,200.0,210.0,229.0,285.0,341.0,407.0,582.0,695.0,830.0,872.0,916.0,962.0,992.0,1030.0,1070.0,1112.0,1155.0,1200.0,1240.0,1281.0,1324.0,,,,,,,,,,Nicaragua,NI,CHAT,National,-,Total Number,Radio
Radio_Total Number_BG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,9.0,17.0,21.0,32.0,47.0,63.0,83.0,,,,,,114.0,161.0,209.0,256.0,303.0,350.0,397.0,445.0,581.0,717.0,853.0,990.0,1126.0,1263.0,1431.0,1601.0,1715.0,1837.0,1968.0,2109.0,2259.0,2420.0,2592.0,2777.0,2975.0,3009.0,3044.0,3079.0,3114.0,3150.0,3217.0,3206.0,3356.0,3427.0,3500.0,3549.0,3598.0,3648.0,3699.0,3750.0,3789.0,3829.0,3869.0,3909.0,3950.0,3962.0,3974.0,3986.0,3998.0,4010.0,4500.0,4510.0,4520.0,4530.0,,,,,,,,,,Bulgaria,BG,CHAT,National,-,Total Number,Radio
