ID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Country Name,Country Code,Spatial Scale,Data Source,Unit,Metric,Technology Name
Copper|Refining_Annual production_DE,533000.0,522000.0,582000.0,632000.0,592000.0,616000.0,671000.0,674000.0,696000.0,696000.0,709000.0,694000.0,696000.0,598000.0,653000.0,638000.0,662000.0,666000.0,690000.0,669000.0,704000.0,709000.0,Germany,DE,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_HU,12800.0,12000.0,12000.0,11000.0,11000.0,11000.0,11000.0,12000.0,12000.0,12000.0,12000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,,,,,Hungary,HU,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_IN,41600.0,47200.0,46800.0,36800.0,49000.0,39600.0,39300.0,36200.0,107000.0,208000.0,243000.0,328000.0,374000.0,394000.0,419000.0,497000.0,629000.0,714000.0,669000.0,715000.0,664000.0,673000.0,India,IN,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_ID,,,,,,,,,,90800.0,158000.0,213000.0,192000.0,223000.0,211000.0,263000.0,218000.0,277000.0,254000.0,289000.0,278000.0,257000.0,Indonesia,ID,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_IR,47800.0,79700.0,102000.0,84900.0,90200.0,90400.0,101000.0,113000.0,139000.0,142000.0,142000.0,152000.0,143000.0,147000.0,152000.0,173000.0,200000.0,208000.0,200000.0,210000.0,220000.0,227000.0,Iran,IR,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_IT,83000.0,83400.0,76000.0,90300.0,84000.0,98000.0,85800.0,85700.0,29100.0,28500.0,32800.0,35500.0,32400.0,26700.0,34000.0,32200.0,36400.0,28600.0,24200.0,6500.0,2000.0,2000.0,Italy,IT,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_JP,1010000.0,1080000.0,1160000.0,1190000.0,1120000.0,1190000.0,1250000.0,1280000.0,1280000.0,1340000.0,1440000.0,1430000.0,1400000.0,1430000.0,1380000.0,1400000.0,1530000.0,1580000.0,1540000.0,1440000.0,1550000.0,1330000.0,Japan,JP,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_KZ,,,320000.0,317000.0,280000.0,256000.0,267000.0,301000.0,325000.0,362000.0,395000.0,426000.0,453000.0,433000.0,445000.0,418000.0,428000.0,407000.0,398000.0,313000.0,323000.0,338000.0,Kazakhstan,KZ,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_KP,35000.0,24000.0,25000.0,27000.0,27000.0,27000.0,28000.0,18000.0,16000.0,16000.0,13000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,"Korea, North",KP,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_KR,186000.0,203000.0,211000.0,220000.0,246000.0,237000.0,248000.0,265000.0,373000.0,450000.0,468000.0,473000.0,499000.0,510000.0,496000.0,527000.0,576000.0,581000.0,538000.0,532000.0,565000.0,595000.0,"Korea, Republic of",KR,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_LA,,,,,,,,,,,,,,,,30500.0,60800.0,62500.0,64100.0,67600.0,64200.0,78900.0,Laos,LA,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_MX,153000.0,159000.0,191000.0,171000.0,197000.0,212000.0,242000.0,297000.0,447000.0,426000.0,411000.0,408000.0,515000.0,317000.0,374000.0,416000.0,379000.0,352000.0,296000.0,261000.0,247000.0,400000.0,Mexico,MX,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_MN,,,,,,,,2750.0,2320.0,1550.0,641.0,1480.0,1500.0,1340.0,2380.0,2480.0,2620.0,3010.0,2590.0,2470.0,2750.0,2390.0,Mongolia,MN,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_NO,36500.0,38400.0,39300.0,37200.0,39400.0,34300.0,28500.0,32600.0,31700.0,33300.0,27000.0,26700.0,30500.0,35900.0,35600.0,38500.0,38500.0,43000.0,32000.0,30000.0,40000.0,40000.0,Norway,NO,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_OM,12000.0,11400.0,16200.0,20500.0,24200.0,21300.0,24200.0,23600.0,22700.0,17200.0,24300.0,24000.0,24000.0,17000.0,24000.0,24000.0,21000.0,14000.0,12000.0,12000.0,14000.0,14000.0,Oman,OM,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_PE,228000.0,286000.0,253000.0,259000.0,265000.0,295000.0,338000.0,384000.0,411000.0,433000.0,452000.0,474000.0,503000.0,517000.0,505000.0,512000.0,508000.0,414000.0,464000.0,423000.0,394000.0,368000.0,Peru,PE,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_PH,126000.0,115000.0,146000.0,166000.0,155000.0,158000.0,156000.0,147000.0,152000.0,148000.0,159000.0,165000.0,144000.0,171000.0,175000.0,172000.0,181000.0,160000.0,175000.0,178000.0,176000.0,164000.0,Philippines,PH,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_PL,346000.0,429000.0,454000.0,461000.0,425000.0,435000.0,425000.0,441000.0,447000.0,471000.0,518000.0,529000.0,528000.0,530000.0,550000.0,560000.0,557000.0,533000.0,527000.0,502000.0,547000.0,571000.0,Poland,PL,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_PT,1000.0,300.0,,,,,,,,,,,,,,,,,,,,,Portugal,PT,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_RO,44300.0,33800.0,24100.0,25000.0,26700.0,27000.0,34300.0,26900.0,23000.0,29000.0,17800.0,22500.0,13500.0,16700.0,24500.0,20700.0,21600.0,18600.0,13300.0,4000.0,4000.0,4000.0,Romania,RO,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_RU,,,575000.0,526000.0,502000.0,560000.0,600000.0,600000.0,620000.0,760000.0,840000.0,895000.0,870000.0,842000.0,919000.0,933000.0,947000.0,939000.0,860000.0,862000.0,874000.0,890000.0,Russia,RU,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_RS,,,,,,,,,,,,,,,,,41000.0,31600.0,33800.0,28000.0,21000.0,29300.0,Serbia,RS,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_CS,,,115000.0,51300.0,72100.0,78500.0,104000.0,114000.0,94300.0,49900.0,59600.0,49400.0,52900.0,14000.0,12000.0,31100.0,,,,,,,Serbia and Montenegro,CS,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_SK,,,,28000.0,25000.0,21500.0,28000.0,31400.0,24100.0,21000.0,,,,,,,,,,,,,Slovakia,SK,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_ZA,133000.0,127000.0,120000.0,128000.0,130000.0,124000.0,123000.0,130000.0,126000.0,116000.0,106000.0,132000.0,120000.0,112000.0,91300.0,99400.0,104000.0,113000.0,93000.0,89500.0,81100.0,80000.0,South Africa,ZA,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_ES,166000.0,190000.0,179000.0,179000.0,188000.0,164000.0,264000.0,292000.0,304000.0,316000.0,316000.0,291000.0,339000.0,324000.0,258000.0,309000.0,299000.0,308000.0,319000.0,329000.0,347000.0,354000.0,Spain,ES,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_SE,97300.0,96600.0,102000.0,98800.0,103000.0,105000.0,125000.0,128000.0,125000.0,115000.0,130000.0,204000.0,224000.0,214000.0,235000.0,244000.0,229000.0,214000.0,228000.0,206000.0,190000.0,219000.0,Sweden,SE,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_TW,22100.0,12000.0,12000.0,10000.0,10000.0,8000.0,6000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,Taiwan,TW,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_TH,,,,,,,,,,,,,,,18100.0,15800.0,27100.0,12700.0,438.0,490.0,490.0,500.0,Thailand,TH,National,USGS,metric tons,Annual production,Copper|Refining
