ID,1992,1998,2003,2005,2010,2011,Country Name,Country Code,Spatial Scale,Unit,Technology Name,Metric,Data Source
Videocassette Recorder_Share of Households_US,0.738,0.852,0.9,0.922,0.9209999999999999,0.909,United States,US,National,%,Videocassette Recorder,Share of Households,OWID
