Country Name,Technology Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Data Source,Unit,Metric,Country Code,Spatial Scale,ID
Australia,Aquaculture Production,5700.0,6500.0,5800.0,5900.0,5800.0,6600.0,6800.0,7300.0,7500.0,7500.0,7021.0,9800.0,10400.0,9200.0,10484.0,9204.0,10439.0,11126.0,10236.0,8702.0,8994.0,9185.0,8841.0,9056.0,8785.0,9534.0,9083.0,9660.0,13080.0,13685.0,12401.0,14327.0,16422.0,18359.0,19129.0,22395.0,25323.0,26543.0,24570.0,29601.0,32083.0,35883.0,38908.04,39927.4,45083.0,44852.0,51649.48,57936.12,60804.08,71672.16,75678.85,76662.49,81832.82,80061.47,75031.81,89317.94,97221.99,93818.1,97671.92,94085.52,106088.35,,World Bank,metric tons,Annual production,AU,National,Aquaculture Production_Annual production_AU
Austria,Aquaculture Production,650.0,660.0,670.0,600.0,680.0,730.0,750.0,790.0,740.0,800.0,870.0,960.0,1080.0,1300.0,1220.0,1200.0,1390.0,1600.0,2900.0,3400.0,3200.0,3200.0,3100.0,3600.0,4000.0,4100.0,4060.0,4000.0,4500.0,4450.0,3126.0,3135.0,3140.0,3140.0,3103.0,2918.0,2949.0,3018.0,2909.0,3067.0,2847.0,2393.0,2333.0,2233.0,2267.0,2420.0,2503.0,2539.0,2087.0,2141.0,2167.0,2904.3,3125.5,3237.0,3390.3,3503.4,3483.4,3861.6,3990.6,4250.04,4527.37,,World Bank,metric tons,Annual production,AT,National,Aquaculture Production_Annual production_AT
Azerbaijan,Aquaculture Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1656.0,1621.0,1216.0,2176.0,1690.0,1201.0,1038.0,516.0,419.0,364.0,211.0,216.0,140.0,95.0,80.0,130.0,350.0,500.0,600.0,900.0,1000.0,1000.0,1000.0,517.0,366.1,325.0,305.0,561.0,640.0,695.0,478.0,531.4,533.0,,World Bank,metric tons,Annual production,AZ,National,Aquaculture Production_Annual production_AZ
"Bahamas, The",Aquaculture Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,42.0,42.0,37.0,51.0,69.0,49.0,6.0,10.0,8.0,4.0,24.0,1.0,1.0,1.0,1.0,2.0,13.0,25.0,52.0,30.0,85.0,52.0,30.0,20.0,17.0,1.0,1.0,1.0,1.0,9.35,9.33,9.0,6.0,6.84,6.0,6.0,,World Bank,metric tons,Annual production,BS,National,Aquaculture Production_Annual production_BS
Bahrain,Aquaculture Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,3.0,12.0,0.0,3.0,4.0,8.0,3.0,2.0,1.0,2.0,2.0,3.19,3.42,1.72,0.0,5.7,6.0,14.21,5.5,5.5,5.5,5.5,,World Bank,metric tons,Annual production,BH,National,Aquaculture Production_Annual production_BH
Bangladesh,Aquaculture Production,49237.0,50569.0,51944.0,53362.0,54824.0,58030.0,57897.0,59519.0,59460.0,62927.0,64716.0,68080.0,68508.0,70525.0,70970.0,73340.0,77063.0,77230.0,82760.0,87360.0,91030.0,96780.0,101630.0,107000.0,117025.0,123811.0,144723.0,166100.0,175925.0,183505.0,192592.0,210993.0,226863.0,237743.0,264190.0,317073.0,379087.0,485864.0,574812.0,593202.0,657120.0,712640.0,786604.0,856956.0,914752.0,882091.0,892049.0,945812.0,1005542.0,1064285.0,1308515.0,1523759.0,1726066.0,1859808.0,1956925.0,2060408.0,2203554.0,2333352.0,2405416.0,2488600.0,2583866.0,,World Bank,metric tons,Annual production,BD,National,Aquaculture Production_Annual production_BD
Barbados,Aquaculture Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,10.5,10.5,14.5,20.5,20.5,25.5,25.5,25.5,25.5,25.5,,World Bank,metric tons,Annual production,BB,National,Aquaculture Production_Annual production_BB
Belarus,Aquaculture Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16152.0,17817.0,16638.0,14750.0,8415.0,7018.0,6934.0,5463.0,6038.0,4322.0,4727.0,4824.0,6716.0,4666.0,6523.0,5393.0,4150.0,5648.0,8406.0,14091.0,14636.0,15659.0,16265.0,16293.0,15499.0,13548.0,10658.0,9130.9,11199.0,10353.5,11580.9,9590.7,9266.33,,World Bank,metric tons,Annual production,BY,National,Aquaculture Production_Annual production_BY
Belgium,Aquaculture Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,12.0,20.0,32.0,90.0,147.0,203.0,255.0,310.0,440.0,530.0,600.0,700.0,735.0,675.0,846.0,846.0,846.0,846.0,846.0,946.0,846.0,846.0,1597.0,1871.0,1830.0,1834.0,1261.0,739.0,414.0,128.0,128.0,126.0,576.0,539.0,101.0,277.0,212.0,214.0,82.0,44.0,75.0,111.0,86.0,209.0,,World Bank,metric tons,Annual production,BE,National,Aquaculture Production_Annual production_BE
Belize,Aquaculture Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,542.0,99.0,158.0,301.0,602.0,656.0,950.0,1004.0,1397.0,1642.0,3163.0,3630.0,4460.0,4400.0,10160.0,11426.0,11078.0,7624.0,3172.0,4528.0,5725.0,7410.7,5102.0,5879.6,7150.0,7212.76,4203.0,1148.0,563.0,564.0,565.0,565.0,,World Bank,metric tons,Annual production,BZ,National,Aquaculture Production_Annual production_BZ
