ID,1970,1971,1972,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_JP,1,2,1,1,2,1,4,4,2,2,3,1,3,3,2,4,3,2,4,7,2,4,1,4,4,3,7,3,1,3,4,10,7,2,5,11,6,6,12,9,4,9,5,24,4,11,16,18,21,9,24,5,Japan,National,JP,UNOOSA,Total Number,-,Objects Launched Into Space
