ID,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,Data Source,Metric,Technology Name,Spatial Scale,Country Name,Country Code,Unit
Ethylene Glycol_Price_World,73.01705114380178,77.14184280674556,66.60076281325591,64.50366264067013,65.48223029232396,61.46939849920859,56.34605111547338,51.0513424308358,44.889322088008875,42.02379411935799,41.70649202477072,38.30217708410651,34.88553096156361,PCDB,Price,Ethylene Glycol,Global,World,World,2022 USD/lb
Ethylene Glycol_Annual production_World,1297.3,1183.3,1433.9,1659.6,1814.6,1797.9,2081.2,1988.8,2042.8,2570.9,3037.5,3070.0,3761.1,PCDB,Annual production,Ethylene Glycol,Global,World,World,million pounds
