ID,2001,2017,2018,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_MA,1,1,1,Morocco,National,MA,UNOOSA,Total Number,-,Objects Launched Into Space
