ID,2011,2012,2014,2015,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Sodium-Based Battery Storage_Cumulative Rated Power_IT,180.0,4180.0,18498.0,30598.0,Sodium-Based Battery Storage,Italy,kW,GESDB,Cumulative Rated Power,National,IT
Sodium-Based Battery Storage_Cumulative Rated Capacity_IT,228.6,228.6,102642.91,193482.91,Sodium-Based Battery Storage,Italy,kWh,GESDB,Cumulative Rated Capacity,National,IT
