ID,2020,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_GT,1,Guatemala,National,GT,UNOOSA,Total Number,-,Objects Launched Into Space
