ID,2006,2017,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Flywheel Battery Storage_Cumulative Rated Power_GB,400000.0,401000.0,Flywheel Battery Storage,United Kingdom,kW,GESDB,Cumulative Rated Power,National,GB
Flywheel Battery Storage_Cumulative Rated Capacity_GB,0.0,200.0,Flywheel Battery Storage,United Kingdom,kWh,GESDB,Cumulative Rated Capacity,National,GB
