ID,1958,2013,2016,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped Hydro Storage_Cumulative Rated Power_CA,174000.0,574000.0,4574000.0,Pumped Hydro Storage,Canada,kW,GESDB,Cumulative Rated Power,National,CA
Pumped Hydro Storage_Cumulative Rated Capacity_CA,1044000.0,3044000.0,3044000.0,Pumped Hydro Storage,Canada,kWh,GESDB,Cumulative Rated Capacity,National,CA
