ID,1964,1967,1971,1974,1977,1988,1991,1992,1993,1996,1999,2000,2001,2002,2004,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_IT,2,1,1,1,1,1,1,1,2,2,1,3,1,1,1,3,1,1,1,1,4,1,2,1,1,4,1,3,1,7,9,Italy,National,IT,UNOOSA,Total Number,-,Objects Launched Into Space
