ID,1970,1971,1974,1975,1976,1978,1981,1982,1983,1984,1985,1986,1987,1988,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Objects Launched Into Space_Total Number_CN,1,1,1,3,2,1,3,1,1,3,1,2,2,4,6,1,2,1,5,1,3,7,10,11,6,2,7,9,11,7,13,10,17,8,20,19,26,19,25,38,38,31,95,82,73,106,131,China,National,CN,UNOOSA,Total Number,-,Objects Launched Into Space
