ID,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,Data Source,Metric,Technology Name,Spatial Scale,Country Name,Country Code,Unit
Benzene_Price_World,3.4171153203342617,3.6533214484679664,3.6060802228412254,3.204529805013927,3.0155649025069637,2.8265999999999996,2.598267409470752,2.2518317548746514,2.362061281337047,2.409302506963788,1.8266607242339832,1.6928105849582171,1.5904545961002785,1.7006841225626739,1.6613164345403897,1.6140752089136488,1.566833983286908,PCDB,Price,Benzene,Global,World,World,2022 USD
Benzene_Annual production_World,,0.261,0.25,0.288,0.301,0.31,0.271,0.339,0.456,0.543,0.541,0.648,0.731,0.827,0.955,0.963,0.957,PCDB,Annual production,Benzene,Global,World,World,million gallons
