ID,1995,2000,2005,2010,2015,2020,Data Source,Country Name,Country Code,Spatial Scale,Metric,Technology Name,Unit
Ground Source Heat Pumps_Cumulative Total Capacity_World,1854,5275,15384,33134,50258,77457,Lund & Toth,World,World,Global,Cumulative Total Capacity,Ground Source Heat Pumps,MWt
