ID,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2010,2011,Country Name,Country Code,Spatial Scale,Unit,Technology Name,Metric,Data Source
Stove_Share of Households_US,0.1,0.105,0.11,0.115,0.12,0.12,0.13,0.14,0.145,0.15,0.16,0.165,0.17,0.17,0.17,0.18,0.1833,0.1867,0.19,0.195,0.2,0.22,0.23,0.24,0.25,0.275,0.3,0.32,0.34,0.35,0.36,0.37,0.37,0.375,0.38,0.4,0.45,0.5,0.5,0.5,0.53,0.55,0.57,0.58,0.59,0.59,0.61,0.64,0.67,0.7,0.74,0.77,0.8,0.84,0.855,0.87,0.885,0.9,0.93,0.94,0.95,0.955,0.96,0.96,0.965,0.97,0.9732999999999999,0.9767,0.98,0.98,0.9833,0.9867,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.986,0.986,United States,US,National,%,Stove,Share of Households,OWID
