ID,1975,1980,1982,1983,1986,1992,1998,2003,2005,2010,2011,2012,2013,2014,2015,2016,2017,Country Name,Country Code,Spatial Scale,Unit,Technology Name,Metric,Data Source
Microwaves_Share of Households_US,0.03,0.07,0.2,0.34,0.6,0.8220000000000001,0.907,0.9590000000000001,0.9640000000000001,0.971,0.968,0.96,0.9520000000000001,0.9440000000000001,0.9359999999999999,0.9279999999999999,0.92,United States,US,National,%,Microwaves,Share of Households,OWID
